Company,TypeName,Ram,Weight,Price,Touchscreen,IPS,PPI,Cpu brand,HDD,SSD,Gpu brand,OS
Apple,Ultrabook,8,1.37,71378,0,1,226.98300468106115,Intel Core i5,0,128,Intel,Mac
Apple,Ultrabook,8,1.34,47895,0,0,127.67794013309688,Intel Core i5,0,0,Intel,Mac
HP,Notebook,8,1.86,30636,0,0,141.21199808219862,Intel Core i5,0,256,Intel,Others/No OS/Linux
Apple,Ultrabook,16,1.83,135195,0,1,220.53462386625827,Intel Core i7,0,512,AMD,Mac
Apple,Ultrabook,8,1.37,96095,0,1,226.98300468106115,Intel Core i5,0,256,Intel,Mac
Acer,Notebook,4,2.1,21312,0,0,100.45466986113651,AMD Processor,500,0,AMD,Windows
Apple,Ultrabook,16,2.04,114017,0,1,220.53462386625827,Intel Core i7,0,0,Intel,Mac
Apple,Ultrabook,8,1.34,61735,0,0,127.67794013309688,Intel Core i5,0,0,Intel,Mac
Asus,Ultrabook,16,1.3,79653,0,0,157.3505121487356,Intel Core i7,0,512,Nvidia,Windows
Acer,Ultrabook,8,1.6,41025,0,1,157.3505121487356,Intel Core i5,0,256,Intel,Windows
HP,Notebook,4,1.86,20986,0,0,100.45466986113651,Intel Core i5,500,0,Intel,Others/No OS/Linux
HP,Notebook,4,1.86,18381,0,0,141.21199808219862,Intel Core i3,500,0,Intel,Others/No OS/Linux
Apple,Ultrabook,16,1.83,130001,0,1,220.53462386625827,Intel Core i7,0,256,AMD,Mac
Dell,Notebook,4,2.2,26581,0,0,141.21199808219862,Intel Core i3,0,256,AMD,Windows
Apple,Ultrabook,8,0.92,67260,0,1,226.41554716935852,Other Intel Processor,0,256,Intel,Mac
Apple,Ultrabook,8,1.37,80908,0,1,226.98300468106115,Intel Core i5,0,256,Intel,Mac
Dell,Notebook,8,2.2,39693,0,0,141.21199808219862,Intel Core i7,0,256,AMD,Windows
Apple,Ultrabook,16,1.83,152274,0,1,220.53462386625827,Intel Core i7,0,512,AMD,Mac
Lenovo,Notebook,8,2.2,26586,0,0,141.21199808219862,Intel Core i3,1000,0,Nvidia,Others/No OS/Linux
Dell,Ultrabook,8,1.22,52161,1,1,165.6321180513006,Intel Core i5,0,128,Intel,Windows
Asus,Netbook,2,0.98,10224,0,0,135.0942111925629,Other Intel Processor,0,0,Intel,Windows
Lenovo,Gaming,8,2.5,53226,0,1,141.21199808219862,Intel Core i5,128,128,Nvidia,Windows
HP,Notebook,4,1.86,13746,0,0,100.45466986113651,AMD Processor,500,0,AMD,Others/No OS/Linux
Dell,2 in 1 Convertible,8,1.62,43636,1,0,165.6321180513006,Intel Core i5,0,256,Intel,Windows
HP,Ultrabook,8,1.91,35111,0,0,141.21199808219862,Intel Core i7,0,256,Intel,Windows
Dell,Notebook,4,2.3,22305,0,0,100.45466986113651,Intel Core i3,1000,0,Intel,Windows
Apple,Ultrabook,8,1.35,58554,0,0,127.67794013309688,Intel Core i5,0,0,Intel,Mac
Dell,Notebook,8,2.2,42624,0,0,141.21199808219862,Intel Core i5,0,256,AMD,Windows
Dell,Ultrabook,8,1.88,69157,0,0,141.21199808219862,Intel Core i7,0,256,Intel,Windows
HP,Notebook,8,2.5,47738,0,0,127.33567457123111,Intel Core i5,1000,0,Nvidia,Windows
Chuwi,Notebook,4,1.89,13053,0,0,141.21199808219862,Other Intel Processor,0,0,Intel,Windows
Asus,Notebook,2,1.65,10602,0,0,111.93520355955211,AMD Processor,0,0,AMD,Windows
HP,Notebook,4,2.71,23389,0,0,127.33567457123111,AMD Processor,500,0,AMD,Windows
Dell,Ultrabook,16,1.2,99580,1,0,276.053530085501,Intel Core i7,0,512,Intel,Windows
Apple,Ultrabook,8,1.35,53173,0,0,127.67794013309688,Intel Core i5,0,0,Intel,Mac
Lenovo,Notebook,4,1.44,13266,0,0,111.93520355955211,Other Intel Processor,0,0,Intel,Windows
Acer,Notebook,4,2.1,19553,0,0,100.45466986113651,Intel Core i3,1000,0,Intel,Others/No OS/Linux
Dell,Notebook,8,2.8,52161,0,1,127.33567457123111,Intel Core i5,128,128,AMD,Windows
HP,Notebook,4,1.86,26037,0,0,100.45466986113651,Intel Core i5,1000,0,Intel,Windows
